Latitude,Longitude,Crop,Harvest year,Fertilization CT ,N input,Yield of CT,Sowing month,Harvesting month,P,E,PB,Tave,ST
40.92,-90.72,soybean,2013,Yes,No,4018.0,5,10,327.5,532.572,-205.072,20.36667,Loam
40.92,-90.72,soybean,2014,Yes,No,4239.0,5,10,707.4,511.805,195.595,19.48333,Loam
40.92,-90.72,soybean,2015,Yes,No,5284.0,5,10,717.9,509.583,208.317,20.45,Loam
40.92,-90.72,soybean,2012,Yes,No,4285.0,5,10,447.6,559.736,-112.136,20.8,Loam
40.92,-90.72,soybean,2013,Yes,No,3578.0,5,10,327.5,532.572,-205.072,20.36667,Loam
40.92,-90.72,soybean,2014,Yes,No,4239.0,5,10,707.4,511.805,195.595,19.48333,Loam
40.92,-90.72,soybean,2015,Yes,No,4789.0,5,10,717.9,509.583,208.317,20.45,Loam
40.92,-90.72,wheat.winter,2013,Yes,Yes,6936.0,10,19,794.9,573.735,221.165,11.62,Loam
40.92,-90.72,wheat.winter,2014,Yes,Yes,3743.0,10,19,860.4,566.135,294.265,9.56,Loam
40.92,-90.72,wheat.winter,2015,Yes,Yes,4789.0,10,19,901.2,572.522,328.678,10.72,Loam
40.92,-90.72,wheat.winter,2016,Yes,Yes,3138.0,10,19,983.6,599.037,384.563,13.72,Loam
40.7,-94.35,maize,1998,Yes,Yes,9386.0,5,10,729.399971,568.5436623,160.856,20.98333327,Loam
42.07,-94.85,maize,1999,Yes,Yes,11309.0,5,10,447.4,528.906,-81.506,18.46667,Loam
42.07,-94.85,maize,1998,Yes,Yes,9760.0,5,10,707.8000107,538.9309508,168.869,20.41666635,Loam
42.43,-92.85,maize,1998,Yes,Yes,9932.0,5,10,674.299984,511.1500178,163.15,19.03333314,Loam
42.43,-92.85,maize,1999,Yes,Yes,12043.0,5,10,499.9,529.12,-29.22,18.03333,Loam
42.07,-91.67,maize,1999,Yes,Yes,11121.0,5,10,432.6,538.349,-105.749,18.55,Loam
42.07,-91.67,maize,1998,Yes,Yes,10559.0,5,10,753.7999878,526.6657331,227.134,19.41666667,Loam
43.3,-89.35,soybean,2009,,,3618.0,6,10,448.2,350.139,98.061,16.12,Loam
42.87,-80.52,maize,1997,Yes,Yes,8880.0,5,10,541.1,542.27,-1.17,15.45,Sandy loam
42.87,-80.52,maize,1998,Yes,Yes,6250.0,5,10,264.3,585.537,-321.237,17.61667,Sandy loam
42.87,-80.52,maize,1999,Yes,Yes,2220.0,5,10,415.5,591.695,-176.195,17.01667,Sandy loam
25.35,82.97,wheat.winter,2005,Yes,Yes,4420.0,12,16,70.2,479.659,-409.459,28.58,Loam
50.24,-113.15,wheat.winter,1993,Yes,Yes,2190.0,9,20,384.6,557.414,-172.814,6.83333,Loam
50.24,-113.15,wheat.winter,1994,Yes,Yes,910.0,9,20,524.6,533.912,-9.312,6.34167,Loam
50.24,-113.15,wheat.winter,1995,Yes,Yes,1620.0,9,20,368.3,529.115,-160.815,4.98333,Loam
50.24,-113.15,wheat.winter,1996,Yes,Yes,450.0,9,20,414.5,539.329,-124.829,5.125,Loam
50.24,-113.15,wheat.winter,1997,Yes,Yes,1370.0,9,20,447.4,558.456,-111.056,7.79167,Loam
50.24,-113.15,wheat.winter,1994,Yes,No,580.0,9,20,524.6,533.912,-9.312,6.34167,Loam
50.24,-113.15,wheat.winter,1994,Yes,Yes,880.0,9,20,524.6,533.912,-9.312,6.34167,Loam
50.24,-113.15,wheat.winter,1994,Yes,Yes,1080.0,9,20,524.6,533.912,-9.312,6.34167,Loam
52.43,16.9,maize,2004,Yes,Yes,12890.0,4,10,288.4,390.685,-102.285,14.18571,Sandy loam
52.43,16.9,maize,2005,Yes,Yes,12780.0,4,10,271.8,418.851,-147.051,14.98571,Sandy loam
52.43,16.9,maize,2006,Yes,Yes,13810.0,4,10,310.0,421.681,-111.681,15.87143,Sandy loam
52.43,16.9,maize,2007,Yes,Yes,21530.0,4,10,336.2,411.782,-75.582,14.67143,Sandy loam
52.43,16.9,maize,2008,Yes,Yes,12240.0,4,10,301.3,400.28,-98.98,14.67143,Sandy loam
52.43,16.9,maize,2009,Yes,Yes,13590.0,4,10,397.9,419.37,-21.47,14.62857,Sandy loam
52.43,16.9,maize,2010,Yes,Yes,14590.0,4,10,461.7,387.338,74.362,13.87143,Sandy loam
52.43,16.9,maize,2011,Yes,Yes,14300.0,4,10,331.6,415.668,-84.068,15.32857,Sandy loam
52.43,16.9,maize,2012,Yes,Yes,24640.0,4,10,423.3,411.656,11.644,14.54286,Sandy loam
52.43,16.9,maize,2013,Yes,Yes,17080.0,4,10,378.2,407.489,-29.289,14.91429,Sandy loam
52.43,16.9,maize,2014,Yes,Yes,15160.0,4,10,416.2,422.759,-6.559,15.64286,Sandy loam
